id,name,belongs_to,main_category,created_at,updated_at,url,국민신문고 통합여부 1:미통합 2:통합,number_of_minwon,latest_minwon_date,조사시간,비고
29,서대문구,서울특별시,기초자치단체,55:21.0,00:56.0,http://seodaemun.eminwon.seoul.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,116,2020.7.1,2020-07-01 11:19:36.180318,
30,마포구,서울특별시,기초자치단체,55:21.0,00:56.0,http://eminwon.mapo.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,7593,2020.6.30,2020-07-01 11:19:39.476521,
31,양천구,서울특별시,기초자치단체,55:21.0,00:56.0,http://eminwon.yangcheon.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,5003,2020.6.30,2020-07-01 11:19:42.931081,
32,강서구,서울특별시,기초자치단체,55:21.0,00:56.0,http://eminwon.gangseo.seoul.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,5737,2020.7.1,2020-07-01 11:19:47.575666,
33,구로구,서울특별시,기초자치단체,55:21.0,00:56.0,http://eminwon.guro.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,5164,2020.6.29,2020-07-01 11:19:51.946131,
34,금천구,서울특별시,기초자치단체,55:21.0,00:56.0,http://eminwon.geumcheon.go.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,2625,2020.6.30,2020-07-01 11:19:56.559298,
35,영등포구,서울특별시,기초자치단체,55:21.0,00:56.0,http://yeongdeungpo.eminwon.seoul.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,4886,2020.6.26,2020-07-01 11:19:59.898764,
36,동작구,서울특별시,기초자치단체,55:21.0,00:56.0,http://dongjak.eminwon.seoul.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,2089,2020.6.30,2020-07-01 11:20:03.086104,
37,관악구,서울특별시,기초자치단체,55:21.0,00:56.0,http://gwanakgu.eminwon.seoul.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,1421,2020.6.29,2020-07-01 11:20:07.078365,
38,서초구,서울특별시,기초자치단체,55:21.0,00:56.0,http://seocho.eminwon.seoul.kr/emwp/gov/mogaha/ntis/web/emwp/cns/action/EmwpCnslWebAction.do?method=selectCnslWebPage&menu_id=EMWPCnslWebInqL&jndinm=EmwpCnslWebEJB&methodnm=selectCnslWebPage&context=NTIS&bbs_se=301,1,2750,2020.7.1,2020-07-01 11:20:10.709219,
